Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2001","2001","1000 ha","180487","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2002","2002","1000 ha","180560","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2003","2003","1000 ha","180249","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2004","2004","1000 ha","180375","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2005","2005","1000 ha","180126","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2006","2006","1000 ha","179906","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2007","2007","1000 ha","179620","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2008","2008","1000 ha","179757","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2009","2009","1000 ha","180068","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2010","2010","1000 ha","179573","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2011","2011","1000 ha","179670","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2012","2012","1000 ha","179642","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2013","2013","1000 ha","179698","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2014","2014","1000 ha","179728","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2015","2015","1000 ha","179675","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2016","2016","1000 ha","179578","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2017","2017","1000 ha","179236","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2018","2018","1000 ha","179116","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2019","2019","1000 ha","179045","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2020","2020","1000 ha","178528","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2021","2021","1000 ha","178542.3333","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2022","2022","1000 ha","178556.6667","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6602","Agriculture","2023","2023","1000 ha","178571","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2001","2001","1000 ha","180487","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2001","2001","%","60.7","A","Official figure",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2002","2002","1000 ha","180560","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2002","2002","%","60.73","A","Official figure",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2003","2003","1000 ha","180249","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2003","2003","%","60.62","A","Official figure",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2004","2004","1000 ha","180375","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2004","2004","%","60.67","A","Official figure",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2005","2005","1000 ha","180126","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2005","2005","%","60.58","A","Official figure",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2006","2006","1000 ha","179906","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2006","2006","%","60.51","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2007","2007","1000 ha","179620","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2007","2007","%","60.41","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2008","2008","1000 ha","179757","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2008","2008","%","60.46","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2009","2009","1000 ha","180068","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2009","2009","%","60.56","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2010","2010","1000 ha","179573","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2010","2010","%","60.4","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2011","2011","1000 ha","179670","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2011","2011","%","60.43","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2012","2012","1000 ha","179642","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2012","2012","%","60.42","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2013","2013","1000 ha","179698","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2013","2013","%","60.44","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2014","2014","1000 ha","179728","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2014","2014","%","60.45","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2015","2015","1000 ha","179675","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2015","2015","%","60.43","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2016","2016","1000 ha","179578","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2016","2016","%","60.4","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2017","2017","1000 ha","179236","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2017","2017","%","60.28","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2018","2018","1000 ha","179116","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2018","2018","%","60.24","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2019","2019","1000 ha","179045","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2019","2019","%","60.22","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2020","2020","1000 ha","178528","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2020","2020","%","60.05","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2021","2021","1000 ha","178542.3333","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2021","2021","%","60.05","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2022","2022","1000 ha","178556.6667","I","Value imputed by a receiving agency",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2022","2022","%","60.06","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2023","2023","1000 ha","178571","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6610","Agricultural land","2023","2023","%","60.06","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6620","Cropland","2001","2001","1000 ha","169825","A","Official figure",""
"RL","Land Use","100","India","7208","Share in Agricultural land","6620","Cropland","2001","2001","%","94.09","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6620","Cropland","2001","2001","%","57.12","A","Official figure",""
"RL","Land Use","100","India","7277","Area per capita","6620","Cropland","2001","2001","ha/cap","0.1576","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6620","Cropland","2002","2002","1000 ha","170032","A","Official figure",""
"RL","Land Use","100","India","7208","Share in Agricultural land","6620","Cropland","2002","2002","%","94.17","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6620","Cropland","2002","2002","%","57.19","A","Official figure",""
"RL","Land Use","100","India","7277","Area per capita","6620","Cropland","2002","2002","ha/cap","0.1549","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6620","Cropland","2003","2003","1000 ha","169799","A","Official figure",""
"RL","Land Use","100","India","7208","Share in Agricultural land","6620","Cropland","2003","2003","%","94.2","A","Official figure",""
"RL","Land Use","100","India","7209","Share in Land area","6620","Cropland","2003","2003","%","57.11","A","Official figure",""
"RL","Land Use","100","India","7277","Area per capita","6620","Cropland","2003","2003","ha/cap","0.152","E","Estimated value",""
"RL","Land Use","100","India","5110","Area","6620","Cropland","2004","2004","1000 ha","169891","A","Official figure",""
